model,task,n,log10_mae,within_twofold
training_median,dog_CL_mL_min_kg,22,0.45429831967677975,0.3181818181818182
training_median,dog_VDss_L_kg,21,0.46508132269580155,0.42857142857142855
training_median,dog_fup,14,0.4053756480501794,0.2857142857142857
training_median,human_CL_mL_min_kg,183,0.491207846754249,0.40437158469945356
training_median,human_VDss_L_kg,182,0.47702592017465095,0.35714285714285715
training_median,human_fup,112,0.6106815853945026,0.3125
training_median,human_hepatocyte_clint,46,0.35887334854259045,0.43478260869565216
training_median,human_microsome_clint,138,0.3751367062331203,0.4492753623188406
training_median,human_ppbr,292,0.589046676838605,0.3082191780821918
training_median,human_renal_cl,62,0.5564705599037691,0.3870967741935484
training_median,monkey_CL_mL_min_kg,15,0.4289937177173691,0.4666666666666667
training_median,monkey_VDss_L_kg,15,0.4081563971337462,0.5333333333333333
training_median,monkey_fup,8,0.3779332764549004,0.375
training_median,rat_CL_mL_min_kg,35,0.5140247870154612,0.45714285714285713
training_median,rat_VDss_L_kg,34,0.4662701050804699,0.4117647058823529
training_median,rat_fup,22,0.6055418230893811,0.18181818181818182
training_median,rat_hepatocyte_clint,100,0.37158950521125367,0.47
training_median,rat_ppbr,121,0.5946000096160335,0.3305785123966942
extra_trees,dog_CL_mL_min_kg,22,0.35997388557551946,0.6363636363636364
extra_trees,dog_VDss_L_kg,21,0.49333842803189704,0.38095238095238093
extra_trees,dog_fup,14,0.3152538486215414,0.5
extra_trees,human_CL_mL_min_kg,183,0.42904586653611665,0.45901639344262296
extra_trees,human_VDss_L_kg,182,0.4045045573953518,0.4725274725274725
extra_trees,human_fup,112,0.46518283799816235,0.39285714285714285
extra_trees,human_hepatocyte_clint,46,0.41766707485169857,0.41304347826086957
extra_trees,human_microsome_clint,138,0.3917038378575843,0.38405797101449274
extra_trees,human_ppbr,292,0.47159093903582666,0.3664383561643836
extra_trees,human_renal_cl,62,0.5602757999926837,0.3870967741935484
extra_trees,monkey_CL_mL_min_kg,15,0.3912640524470955,0.5333333333333333
extra_trees,monkey_VDss_L_kg,15,0.3960827904603568,0.3333333333333333
extra_trees,monkey_fup,8,0.5887335074934634,0.25
extra_trees,rat_CL_mL_min_kg,35,0.42035316630596764,0.4857142857142857
extra_trees,rat_VDss_L_kg,34,0.31481918487178595,0.6470588235294118
extra_trees,rat_fup,22,0.5098107940618807,0.2727272727272727
extra_trees,rat_hepatocyte_clint,100,0.3820053017534308,0.41
extra_trees,rat_ppbr,121,0.5155639194666576,0.2892561983471074
shared_encoder,dog_CL_mL_min_kg,22,0.3640950052315128,0.4090909090909091
shared_encoder,dog_VDss_L_kg,21,0.410689264518671,0.5238095238095238
shared_encoder,dog_fup,14,0.33155937132176255,0.42857142857142855
shared_encoder,human_CL_mL_min_kg,183,0.47128585613409263,0.4098360655737705
shared_encoder,human_VDss_L_kg,182,0.40672682018987055,0.45054945054945056
shared_encoder,human_fup,112,0.5396347812775489,0.35714285714285715
shared_encoder,human_hepatocyte_clint,46,0.36965215693642206,0.41304347826086957
shared_encoder,human_microsome_clint,138,0.3785756727363608,0.42028985507246375
shared_encoder,human_ppbr,292,0.56052279047819,0.3493150684931507
shared_encoder,human_renal_cl,62,0.573157240823131,0.3064516129032258
shared_encoder,monkey_CL_mL_min_kg,15,0.36866449503066373,0.5333333333333333
shared_encoder,monkey_VDss_L_kg,15,0.28958042962543384,0.8
shared_encoder,monkey_fup,8,0.42414599731259695,0.375
shared_encoder,rat_CL_mL_min_kg,35,0.48269590407750257,0.37142857142857144
shared_encoder,rat_VDss_L_kg,34,0.3922540076773192,0.4411764705882353
shared_encoder,rat_fup,22,0.493153494016949,0.3181818181818182
shared_encoder,rat_hepatocyte_clint,100,0.37631729610046416,0.48
shared_encoder,rat_ppbr,121,0.5877113893440781,0.2809917355371901
